Row Labels,Sum of Medicine,Sum of Chemistry,Sum of Physics
1826,,,1
1850,1,,
1862,2,,
1864,1,,
1865,2,,
1867,1,,
1868,1,,
1869,1,,
1872,,,1
1873,3,,
1874,2,,
1875,2,,
1876,1,,
1877,1,,
1878,,,1
1879,1,,1
1880,2,,
1881,4,,1
1882,2,,
1883,1,,
1886,,1,1
1887,,,2
1890,1,,3
1891,,,5
1892,,2,
1893,1,1,
1894,,2,1
1895,1,3,4
1896,1,1,4
1897,1,2,5
1898,3,6,4
1899,1,7,2
1900,3,6,
1901,2,5,6
1902,3,19,5
1903,3,16,2
1904,2,11,3
1905,5,14,6
1906,11,14,8
1907,7,21,8
1908,6,21,8
1909,11,28,7
1910,24,28,6
1911,25,24,13
1912,27,33,12
1913,18,40,28
1914,25,35,22
1915,12,31,13
1916,32,31,26
1917,38,22,18
1918,20,18,7
1919,35,40,15
1920,26,41,28
1921,32,36,24
1922,47,68,22
1923,57,81,36
1924,40,84,41
1925,49,78,39
1926,68,54,41
1927,58,69,33
1928,56,85,42
1929,57,99,40
1930,79,82,38
1931,66,112,36
1932,61,103,43
1933,72,104,51
1934,66,158,58
1935,99,134,63
1936,81,103,52
1937,87,144,62
1938,87,149,64
1939,110,128,78
1940,87,104,58
1941,90,74,36
1942,72,92,19
1943,51,59,15
1944,76,68,25
1945,103,72,27
1946,98,85,51
1947,92,134,88
1948,107,142,95
1949,136,190,122
1950,127,245,160
1951,160,215,132
1952,155,257,114
1953,159,351,120
1954,161,297,134
1955,175,295,130
1956,152,265,127
1957,196,266,161
1958,203,296,159
1959,201,311,99
1960,193,276,117
1961,241,308,148
1962,240,357,164
1963,286,340,154
1964,262,360,204
1965,266,353,190
1966,275,366,183
1967,312,366,165
1968,269,455,210
1969,284,415,204
1970,326,553,202
1971,332,559,228
1972,370,646,221
1973,388,637,252
1974,453,646,278
1975,416,691,308
1976,435,704,308
1977,478,760,307
1978,470,711,293
1979,420,736,267
1980,490,771,280
1981,504,761,309
1982,508,808,334
1983,486,753,331
1984,526,717,350
1985,570,807,340
1986,553,758,333
1987,514,773,416
1988,521,831,402
1989,538,800,339
1990,580,814,326
1991,513,761,373
1992,538,696,346
1993,571,793,377
1994,561,753,389
1995,639,732,406
1996,549,812,431
1997,546,866,495
1998,494,777,489
1999,517,795,527
2000,490,685,477
2001,449,699,401
2002,452,690,385
2003,441,669,344
2004,493,634,409
2005,476,597,410
2006,438,625,408
2007,414,559,418
2008,481,501,387
2009,510,543,360
2010,548,1517,325
2011,394,474,367
2012,401,480,324
2013,388,483,346
2014,349,466,290
2015,284,346,279
2016,256,325,288
2017,269,307,255
2018,22,28,22
Grand Total,29234,42657,21503
